#Digilent WaveForms Oscilloscope Acquisition
#Device Name: PlasmaStuff
#Serial Number: SN:210321A41FE0
#Date Time: 2018-11-27 16:26:48.980
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 200 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 8.6 V
#Channel 2: Range: 2 V/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.10237500000000001,-8.0318660051632804,0.065782102353602517
-0.10235,-8.0318660051632822,0.065782102353600824
-0.102325,-8.0355388467953119,0.062064716606721262
-0.1023,-8.0392116884273417,0.058347330859840014
-0.102275,-8.0392116884273417,0.058347330859840014
-0.10225000000000001,-8.0392116884273417,0.054629945112958767
-0.102225,-8.0392116884273435,0.050912559366075825
-0.1022,-8.0428845300593732,0.047195173619196271
-0.102175,-8.0428845300593732,0.043477787872315016
-0.10215,-8.0428845300593732,0.043477787872315016
-0.10212500000000001,-8.0428845300593732,0.039760402125433768
-0.1021,-8.0465573716914029,0.036043016378550827
-0.102075,-8.0465573716914029,0.032325630631671272
-0.10205,-8.0465573716914029,0.028608244884790024
-0.102025,-8.0502302133234327,0.028608244884790024
-0.10200000000000001,-8.0502302133234327,0.021173473391027525
-0.101975,-8.0502302133234327,0.021173473391025835
-0.10195,-8.0502302133234327,0.017456087644146277
-0.101925,-8.0539030549554642,0.013738701897265029
-0.1019,-8.0539030549554642,0.010021316150383779
-0.10187500000000001,-8.0539030549554642,0.010021316150383779
-0.10185,-8.053903054955466,0.0063039304035008396
-0.101825,-8.057575896587494,0.0025865446566212813
-0.1018,-8.057575896587494,0.0025865446566212813
-0.101775,-8.0612487382195255,-0.0048482268371412163
-0.10175000000000001,-8.0612487382195255,-0.0048482268371412163
-0.101725,-8.0612487382195255,-0.0085656125840241557
-0.1017,-8.0612487382195255,-0.012282998330903714
-0.101675,-8.0649215798515552,-0.012282998330903714
-0.10165,-8.0649215798515552,-0.019717769824666213
-0.10162500000000001,-8.0649215798515552,-0.023435155571547461
-0.1016,-8.064921579851557,-0.023435155571549151
-0.101575,-8.0685944214835867,-0.027152541318428709
-0.10155,-8.0685944214835867,-0.030869927065309957
-0.101525,-8.0685944214835867,-0.034587312812191205
-0.10150000000000001,-8.0685944214835867,-0.038304698559072453
-0.10147500000000001,-8.0722672631156147,-0.042022084305952015
-0.10145,-8.0722672631156165,-0.045739470052834956
-0.101425,-8.0722672631156165,-0.049456855799716204
-0.1014,-8.075940104747648,-0.049456855799716204
-0.10137500000000001,-8.075940104747648,-0.053174241546597452
